abbreviation	lipidmaps_category	chebi_id	chebi_name	pathway_id	pathway_name	msigdb_name	n_compounds	n_pathway_compounds	n_descendants	specificity
AHexCer	SP	CHEBI:23079	cerebroside	R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1	11	253	0.0909
AHexCer	SP	CHEBI:23079	cerebroside	R-MMU-9840310	Glycosphingolipid catabolism	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	2	38	253	0.0526
AHexCer	SP	CHEBI:23079	cerebroside	R-MMU-9840309	Glycosphingolipid biosynthesis	REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS	2	53	253	0.0377
AHexCer	SP	CHEBI:23079	cerebroside	R-MMU-1660662	Glycosphingolipid metabolism	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	2	79	253	0.0253
AHexCer	SP	CHEBI:23079	cerebroside	R-MMU-428157	Sphingolipid metabolism	REACTOME_SPHINGOLIPID_METABOLISM	2	117	253	0.0171
CAR	FA	CHEBI:17387	O-acylcarnitine	R-MMU-200425	Carnitine shuttle	REACTOME_CARNITINE_SHUTTLE	3	18	387	0.1667
CAR	FA	CHEBI:17387	O-acylcarnitine	R-MMU-390918	Peroxisomal lipid metabolism	REACTOME_PEROXISOMAL_LIPID_METABOLISM	3	62	387	0.0484
CAR	FA	CHEBI:17387	O-acylcarnitine	R-MMU-70895	Branched-chain amino acid catabolism	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	1	42	387	0.0238
CAR	FA	CHEBI:17387	O-acylcarnitine	R-MMU-8978868	Fatty acid metabolism	REACTOME_FATTY_ACID_METABOLISM	5	256	387	0.0195
CAR	FA	CHEBI:17387	O-acylcarnitine	R-MMU-71291	Metabolism of amino acids and derivatives	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	1	254	387	0.0039
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-8963888	Chylomicron assembly	REACTOME_CHYLOMICRON_ASSEMBLY	1	4	88	0.25
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-432142	Platelet sensitization by LDL	REACTOME_PLATELET_SENSITIZATION_BY_LDL	1	6	88	0.1667
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-8963901	Chylomicron remodeling	REACTOME_CHYLOMICRON_REMODELING	1	7	88	0.1429
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-8964038	LDL clearance	REACTOME_LDL_CLEARANCE	1	9	88	0.1111
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-8964043	Plasma lipoprotein clearance	REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	1	9	88	0.1111
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-8856825	Cargo recognition for clathrin-mediated endocytosis	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	1	11	88	0.0909
CE	ST	CHEBI:17002	cholesteryl ester	R-MMU-9707616	Heme signaling	REACTOME_HEME_SIGNALING	1	11	88	0.0909
